model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 Q3,2015,17450,Manual,36285,Petrol,145,49.6,1.4,Audi,25496
 TT,2019,27990,Automatic,5000,Petrol,145,35.3,2.0,Audi,26852
 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3.0,BMW,30028
 X1,2018,24995,Automatic,8493,Petrol,145,44.8,2.0,BMW,30824
 3 Series,2016,12000,Automatic,97600,Diesel,30,64.2,2.0,BMW,46127
 A5,2016,16490,Manual,23500,Diesel,125,60.1,2.0,Audi,8811
 E Class,2017,22150,Automatic,27425,Diesel,145,61.4,2.0,Mercedes,2323
 2 Series,2019,28995,Semi-Auto,5721,Petrol,145,38.2,3.0,BMW,4769
 Q3,2019,32390,Semi-Auto,14600,Petrol,150,37.2,1.5,Audi,2866
 A4,2020,43995,Semi-Auto,4000,Diesel,145,40.9,3.0,Audi,25129
 Passat,2016,9791,Automatic,98000,Diesel,30,60.1,2.0,VW,40773
 1 Series,2019,24990,Automatic,8458,Diesel,145,51.4,2.0,BMW,8299
 Polo,2019,19000,Semi-Auto,4000,Petrol,150,39.8,2.0,VW,3621
 C Class,2017,16442,Automatic,58687,Diesel,145,64.2,2.1,Mercedes,37154
 Touran,2016,16499,Semi-Auto,24230,Diesel,30,64.2,1.6,VW,3204
 A Class,2016,17295,Automatic,21068,Diesel,20,74.3,1.5,Mercedes,33412
 Golf,2018,12440,Manual,18000,Diesel,150,61.4,1.6,VW,45440
 A1,2020,20495,Semi-Auto,1500,Petrol,145,44.8,1.5,Audi,40884
 Touareg,2018,27495,Semi-Auto,24525,Diesel,145,42.8,3.0,VW,18598
 E Class,2019,71199,Semi-Auto,958,Petrol,145,30.1,4.0,Mercedes,11417
 C Class,2019,26500,Semi-Auto,3000,Diesel,145,60.1,1.6,Mercedes,43166
 C Class,2018,23199,Semi-Auto,8942,Petrol,145,46.3,1.5,Mercedes,5619
 Touareg,2018,38103,Automatic,8500,Diesel,145,34.0,3.0,VW,30088
 X1,2017,19832,Semi-Auto,15242,Diesel,145,57.6,2.0,BMW,45969
 A Class,2019,23849,Semi-Auto,5036,Petrol,145,53.3,1.3,Mercedes,24123
 E Class,2019,32670,Semi-Auto,5820,Diesel,145,70.6,2.0,Mercedes,14457
 A4,2018,16000,Manual,23541,Petrol,145,51.4,1.4,Audi,34576
 A Class,2017,14250,Semi-Auto,29360,Diesel,145,70.6,2.1,Mercedes,32982
 A3,2019,23950,Automatic,11942,Petrol,150,42.2,1.5,Audi,13567
 A Class,2017,14500,Manual,23966,Diesel,145,68.9,1.5,Mercedes,7823
 C Class,2019,29980,Semi-Auto,1998,Petrol,145,47.1,1.5,Mercedes,11133
 Golf,2019,25332,Manual,6601,Petrol,145,37.7,2.0,VW,43565
 GLE Class,2020,55290,Automatic,2242,Diesel,145,32.8,2.9,Mercedes,17996
 Golf,2019,31690,Automatic,25,Petrol,145,32.8,2.0,VW,13556
 1 Series,2016,13553,Manual,17787,Petrol,125,52.3,1.5,BMW,33207
 3 Series,2020,27995,Manual,1000,Diesel,145,54.3,2.0,BMW,32975
 Golf,2017,19152,Semi-Auto,21235,Diesel,30,62.8,2.0,VW,20797
 Golf,2017,20157,Automatic,13848,Diesel,145,57.7,2.0,VW,17078
 C Class,2017,20200,Automatic,25449,Diesel,145,67.3,2.1,Mercedes,24976
 Q3,2019,31888,Automatic,4000,Diesel,145,47.1,2.0,Audi,28865
 A6,2015,15998,Semi-Auto,39549,Diesel,30,64.2,2.0,Audi,698
 Scirocco,2017,14728,Manual,34217,Diesel,145,53.3,2.0,VW,13366
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,42017
 C Class,2017,18795,Automatic,46294,Diesel,20,67.3,2.1,Mercedes,29038
 E Class,2019,34640,Semi-Auto,2824,Diesel,150,42.8,3.0,Mercedes,11478
 Q3,2019,25990,Manual,6000,Petrol,145,42.2,1.5,Audi,41352
 5 Series,2017,15995,Automatic,59069,Diesel,30,68.9,2.0,BMW,17184
 Passat,2016,11463,Manual,74572,Diesel,20,68.9,2.0,VW,3828
 Polo,2016,8110,Manual,27155,Petrol,20,60.1,1.0,VW,34260
 Golf,2019,19790,Manual,100,Petrol,145,50.4,1.5,VW,21285
 B Class,2015,12995,Automatic,23200,Diesel,20,68.9,2.1,Mercedes,33044
 E Class,2014,16872,Semi-Auto,23435,Diesel,160,47.9,3.0,Mercedes,14037
 Tiguan,2017,17490,Manual,36969,Petrol,145,48.7,1.4,VW,20514
 Q3,2014,13490,Automatic,48000,Diesel,200,47.9,2.0,Audi,11327
 Q3,2020,30000,Automatic,1500,Petrol,145,40.9,0.0,Audi,29242
 Q3,2015,17130,Manual,27556,Diesel,160,49.6,2.0,Audi,30681
 Polo,2019,15985,Manual,2057,Petrol,145,52.3,1.0,VW,6484
 A Class,2017,13391,Manual,38172,Diesel,145,72.4,1.5,Mercedes,4055
 A3,2019,24000,Semi-Auto,4500,Diesel,145,50.4,2.0,Audi,29596
 X3,2019,35980,Semi-Auto,8088,Diesel,145,54.3,2.0,BMW,11104
 3 Series,2019,25450,Semi-Auto,11208,Diesel,145,52.3,2.0,BMW,31047
 A6,2016,17336,Automatic,62118,Diesel,145,56.5,2.0,Audi,36020
 E Class,2019,28850,Semi-Auto,11354,Diesel,145,58.9,2.0,Mercedes,22602
 2 Series,2019,20999,Semi-Auto,4923,Petrol,145,47.9,2.0,BMW,2913
 GLC Class,2017,24998,Semi-Auto,44847,Diesel,125,56.5,2.1,Mercedes,7590
 C Class,2013,10199,Manual,58654,Diesel,160,52.3,2.1,Mercedes,7835
 A1,2017,12000,Manual,25679,Petrol,30,55.4,1.4,Audi,5724
 Arteon,2017,18700,Semi-Auto,30874,Petrol,145,47.1,2.0,VW,46496
 Polo,2017,9600,Manual,29553,Petrol,145,58.9,1.0,VW,20558
 Golf,2019,16500,Semi-Auto,17290,Petrol,145,45.6,1.0,VW,9486
 A5,2019,32950,Automatic,2000,Diesel,145,45.6,2.0,Audi,22265
 A3,2020,30777,Semi-Auto,3925,Petrol,145,44.1,1.5,Audi,31355
 Touran,2019,25790,Semi-Auto,2500,Petrol,145,38.7,1.5,VW,21018
 Up,2014,5830,Manual,43258,Petrol,20,60.1,1.0,VW,26247
 A3,2020,16999,Manual,2718,Petrol,150,49.6,1.0,Audi,22852
 Passat,2020,33889,Automatic,25,Petrol,145,33.2,2.0,VW,44302
 A4,2016,16490,Manual,32868,Diesel,30,67.3,2.0,Audi,41695
 4 Series,2020,31450,Semi-Auto,10,Diesel,145,60.1,2.0,BMW,44145
 C Class,2019,29480,Semi-Auto,3999,Diesel,145,54.3,1.6,Mercedes,4899
 3 Series,2016,13995,Manual,34328,Diesel,125,61.4,2.0,BMW,32089
 Tiguan,2017,19501,Semi-Auto,47046,Diesel,145,49.6,2.0,VW,43226
 Tiguan,2015,16290,Semi-Auto,18984,Diesel,160,49.6,2.0,VW,14321
 A1,2017,13995,Manual,12148,Petrol,145,67.3,1.0,Audi,35460
 2 Series,2019,20990,Semi-Auto,2139,Petrol,145,53.3,1.5,BMW,35926
 2 Series,2019,22990,Automatic,2766,Petrol,145,50.4,2.0,BMW,41382
 GLE Class,2020,59995,Semi-Auto,3392,Diesel,150,32.5,2.9,Mercedes,8083
 A5,2016,14999,Manual,46107,Petrol,200,40.9,2.0,Audi,40896
 2 Series,2016,11976,Manual,26089,Petrol,30,55.4,1.5,BMW,28710
 T-Roc,2020,27490,Manual,3001,Petrol,145,42.2,1.5,VW,1593
 Q2,2017,22995,Semi-Auto,5674,Petrol,145,52.3,1.4,Audi,18695
 1 Series,2017,17500,Automatic,9020,Diesel,150,65.7,2.0,BMW,42811
 Touareg,2016,24995,Automatic,26668,Diesel,235,42.8,3.0,VW,13012
 Golf,2019,21995,Semi-Auto,16998,Petrol,145,43.5,1.5,VW,1398
 A3,2015,15995,Semi-Auto,49487,Diesel,125,57.6,2.0,Audi,31480
 Q3,2016,19000,Manual,19821,Diesel,165,49.6,2.0,Audi,27008
 C Class,2018,21999,Automatic,36926,Diesel,145,61.4,2.0,Mercedes,23921
 Q3,2019,38990,Semi-Auto,5476,Petrol,145,31.0,2.0,Audi,7538
 Passat,2017,20990,Semi-Auto,18707,Diesel,145,57.6,2.0,VW,14253
 Golf,2016,12300,Manual,73370,Diesel,20,67.3,2.0,VW,17070
 C Class,2018,25280,Automatic,4944,Diesel,145,58.9,2.1,Mercedes,485
 X1,2017,19495,Semi-Auto,23397,Diesel,125,57.6,2.0,BMW,24707
 A6,2013,12998,Semi-Auto,59811,Diesel,150,56.5,2.0,Audi,12119
 E Class,2015,14995,Automatic,48641,Diesel,125,61.4,2.1,Mercedes,38905
 A5,2019,31990,Automatic,5000,Diesel,145,51.4,2.0,Audi,32431
 Passat,2019,18698,Semi-Auto,12303,Petrol,145,41.5,1.5,VW,19185
 A1,2015,13300,Manual,34176,Petrol,30,56.5,1.4,Audi,38377
 GLA Class,2016,17490,Automatic,25000,Diesel,20,64.2,2.1,Mercedes,23799
 Golf,2019,17564,Semi-Auto,8684,Petrol,145,45.6,1.0,VW,24716
 GLA Class,2019,21810,Semi-Auto,1550,Petrol,145,44.8,1.6,Mercedes,14637
 B Class,2019,22199,Semi-Auto,12980,Petrol,145,45.6,1.3,Mercedes,25270
 A5,2019,25000,Automatic,100,Petrol,145,53.3,1.4,Audi,12468
 4 Series,2019,29990,Semi-Auto,10013,Diesel,145,49.6,3.0,BMW,30654
 A6,2017,21195,Semi-Auto,32000,Diesel,145,61.4,2.0,Audi,39965
 B Class,2020,24495,Semi-Auto,100,Diesel,145,55.4,2.0,Mercedes,12716
 A3,2016,12599,Manual,33622,Petrol,20,60.1,1.4,Audi,38541
 Polo,2019,15950,Manual,5000,Petrol,145,52.3,1.0,VW,44680
 X1,2019,31995,Automatic,9500,Diesel,145,52.3,2.0,BMW,41489
 A3,2016,9712,Manual,60901,Diesel,20,68.9,2.0,Audi,20583
 C Class,2018,28342,Semi-Auto,10025,Petrol,145,44.1,2.0,Mercedes,28866
 A4,2019,43990,Automatic,6500,Diesel,145,39.2,3.0,Audi,3809
 Q7,2016,29499,Automatic,43380,Diesel,200,47.9,3.0,Audi,18474
 A Class,2018,19999,Semi-Auto,4187,Diesel,145,65.7,1.5,Mercedes,24066
 Polo,2017,9000,Manual,37338,Petrol,150,60.1,1.2,VW,6454
 A4,2019,25900,Automatic,11001,Diesel,145,47.9,2.0,Audi,30860
 Polo,2016,9700,Manual,38044,Petrol,20,60.1,1.2,VW,33062
 A3,2015,11000,Automatic,38689,Diesel,20,72.4,1.6,Audi,30611
 A3,2013,8990,Semi-Auto,75142,Petrol,30,57.6,1.4,Audi,15334
 A Class,2015,11999,Semi-Auto,35153,Diesel,20,70.6,1.5,Mercedes,41186
 A3,2016,20899,Manual,10750,Diesel,30,64.2,2.0,Audi,27282
 A3,2019,24500,Semi-Auto,2246,Petrol,145,43.5,1.5,Audi,957
 A1,2012,9020,Automatic,56767,Petrol,125,53.3,1.4,Audi,46332
 A5,2018,23990,Automatic,20500,Petrol,145,50.4,2.0,Audi,34776
 3 Series,2019,24591,Semi-Auto,9153,Diesel,145,60.1,2.0,BMW,36881
 1 Series,2016,12700,Automatic,24592,Diesel,20,68.9,2.0,BMW,34247
 X1,2016,19499,Automatic,12389,Diesel,125,57.6,2.0,BMW,256
 A1,2015,11300,Manual,20567,Petrol,30,57.6,1.4,Audi,10736
 Golf,2016,16498,Manual,19394,Diesel,20,67.3,2.0,VW,37361
 C Class,2019,30799,Semi-Auto,7031,Diesel,145,61.4,2.0,Mercedes,41379
 Polo,2016,7841,Manual,48570,Petrol,20,60.1,1.2,VW,34933
 Touran,2017,13998,Semi-Auto,39857,Diesel,30,65.7,1.6,VW,38722
 Q3,2017,16671,Manual,20482,Diesel,30,62.8,2.0,Audi,14704
 A5,2012,8499,Automatic,70000,Diesel,125,58.9,2.0,Audi,2750
 Q2,2018,22800,Semi-Auto,7899,Petrol,150,52.3,1.4,Audi,38456
 Polo,2018,14490,Semi-Auto,12146,Petrol,145,45.6,1.0,VW,30919
 E Class,2015,15995,Semi-Auto,38000,Diesel,125,60.1,2.1,Mercedes,15650
 A3,2015,10995,Manual,94806,Diesel,30,65.7,2.0,Audi,36991
 Up,2019,10490,Manual,4117,Petrol,150,52.3,1.0,VW,23601
 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5,BMW,2198
 1 Series,2017,22490,Semi-Auto,15985,Petrol,145,39.8,3.0,BMW,38674
 Golf,2019,20766,Semi-Auto,2633,Petrol,145,43.5,1.5,VW,9743
 Q2,2019,22750,Manual,5433,Diesel,145,47.9,1.6,Audi,1730
 2 Series,2020,21890,Semi-Auto,11,Petrol,145,50.4,1.5,BMW,1295
 Golf,2016,9720,Manual,65723,Diesel,20,68.9,2.0,VW,33101
 X5,2019,44736,Semi-Auto,6056,Diesel,145,37.7,3.0,BMW,43355
 E Class,2019,33750,Automatic,2877,Diesel,145,45.6,2.0,Mercedes,31075
 SL CLASS,2016,19812,Semi-Auto,21455,Petrol,145,47.9,2.0,Mercedes,20515
 X5,2012,19500,Automatic,37000,Diesel,300,37.7,3.0,BMW,40010
 Q5,2015,22485,Semi-Auto,38421,Diesel,205,47.1,2.0,Audi,21201
 Polo,2017,9790,Manual,37000,Petrol,20,60.1,1.2,VW,44884
 A4,2017,18500,Automatic,17418,Diesel,145,62.8,2.0,Audi,31680
 C Class,2017,24990,Automatic,6668,Diesel,145,58.9,2.1,Mercedes,2226
 V Class,2018,18450,Manual,23075,Diesel,145,46.3,2.1,Mercedes,44480
 3 Series,2016,16991,Semi-Auto,32857,Diesel,30,64.2,2.0,BMW,16257
 C Class,2019,25989,Automatic,2997,Petrol,145,44.1,1.5,Mercedes,24125
 X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,BMW,29956
 2 Series,2019,20950,Semi-Auto,6418,Petrol,145,47.9,2.0,BMW,29414
 C Class,2015,15275,Automatic,67889,Hybrid,0,76.4,2.1,Mercedes,1183
 B Class,2013,9998,Semi-Auto,34837,Diesel,30,64.2,1.8,Mercedes,4949
 GLC Class,2019,32199,Semi-Auto,9351,Diesel,145,42.2,2.1,Mercedes,19659
 3 Series,2016,14022,Automatic,72820,Hybrid,0,134.5,2.0,BMW,46634
 C Class,2019,20799,Semi-Auto,13356,Diesel,145,61.4,2.0,Mercedes,41995
 Q5,2019,31000,Semi-Auto,3119,Diesel,145,38.2,2.0,Audi,488
 GLC Class,2020,42781,Semi-Auto,4123,Diesel,145,40.9,2.0,Mercedes,28606
 Q7,2016,30790,Semi-Auto,14727,Diesel,160,48.7,3.0,Audi,12168
 X1,2019,25999,Semi-Auto,4575,Diesel,145,60.1,2.0,BMW,34782
 A6,2013,11999,Automatic,81459,Diesel,145,55.4,2.0,Audi,24215
 Polo,2017,9740,Manual,34070,Diesel,150,74.3,1.4,VW,15167
 Passat,2019,19995,Manual,13299,Petrol,145,44.1,1.5,VW,7342
 Q3,2015,16990,Semi-Auto,43395,Diesel,160,50.4,2.0,Audi,35525
 Golf,2015,15990,Manual,43000,Petrol,200,39.8,2.0,VW,32143
 Passat,2017,11691,Semi-Auto,77445,Diesel,145,70.6,1.6,VW,39851
 Q2,2019,23990,Manual,3000,Diesel,145,49.6,1.6,Audi,33307
 A5,2015,13650,Manual,37314,Diesel,145,55.4,2.0,Audi,41204
 C Class,2019,33699,Automatic,1000,Petrol,145,44.1,2.0,Mercedes,4289
 A4,2019,26000,Automatic,4396,Diesel,150,44.8,2.0,Audi,5257
 Polo,2017,11450,Manual,16500,Petrol,20,60.1,1.2,VW,6831
 Arteon,2019,23950,Semi-Auto,9301,Diesel,145,50.4,2.0,VW,36690
 4 Series,2014,15050,Semi-Auto,26973,Diesel,125,60.1,2.0,BMW,13334
 Q3,2017,16505,Manual,32895,Petrol,125,51.4,1.4,Audi,3673
 C Class,2018,25750,Semi-Auto,6983,Diesel,145,60.1,2.1,Mercedes,33217
 A5,2015,14998,Manual,32125,Diesel,125,57.6,2.0,Audi,24166
 SL CLASS,2019,30670,Automatic,3000,Petrol,145,47.1,2.0,Mercedes,3530
 Golf,2017,13690,Semi-Auto,9850,Petrol,0,65.7,1.0,VW,27894
 X3,2017,19800,Automatic,44132,Diesel,145,54.3,2.0,BMW,20474
 A3,2019,31600,Semi-Auto,7214,Petrol,150,34.5,2.0,Audi,23930
 X1,2017,20990,Semi-Auto,25013,Diesel,145,57.6,2.0,BMW,34311
 Tiguan,2019,24950,Manual,5800,Diesel,145,47.9,2.0,VW,41633
 Golf,2019,20995,Manual,50,Petrol,145,47.1,1.5,VW,24844
 C Class,2019,59950,Automatic,152,Petrol,145,27.2,4.0,Mercedes,10355
 V Class,2019,48890,Semi-Auto,650,Diesel,145,36.7,2.0,Mercedes,4454
 Tiguan,2017,16302,Manual,33686,Diesel,125,58.9,2.0,VW,22162
 E Class,2017,19395,Semi-Auto,22767,Diesel,145,72.4,2.0,Mercedes,37148
 Polo,2017,10199,Manual,18640,Petrol,150,60.1,1.0,VW,10293
 T-Cross,2020,23500,Automatic,1155,Petrol,145,45.6,1.0,VW,38877
 T-Cross,2020,22000,Automatic,1728,Petrol,145,45.6,1.0,VW,35051
 Passat,2020,22480,Manual,2576,Petrol,145,45.6,1.5,VW,21364
 Polo,2019,14495,Manual,15417,Petrol,150,52.3,1.0,VW,8437
 E Class,2019,25780,Semi-Auto,15107,Diesel,145,72.4,2.0,Mercedes,13383
 Touareg,2019,44082,Semi-Auto,6580,Diesel,145,34.0,3.0,VW,26052
 Golf SV,2019,19985,Manual,1659,Diesel,145,55.4,1.6,VW,22234
 E Class,2018,21790,Semi-Auto,20837,Diesel,150,61.4,2.0,Mercedes,33051
 Golf,2019,25290,Automatic,4987,Petrol,145,37.7,2.0,VW,10609
 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2.0,BMW,11732
 A Class,2019,25890,Automatic,2981,Diesel,145,56.5,2.0,Mercedes,41484
 A3,2016,13005,Semi-Auto,48782,Diesel,20,68.9,1.6,Audi,4721
 C Class,2016,17000,Automatic,29947,Diesel,30,61.4,2.1,Mercedes,8193
 Golf,2017,13799,Manual,21813,Petrol,145,54.3,1.4,VW,6483
 Golf,2018,21495,Automatic,12989,Diesel,150,57.7,2.0,VW,24311
 GLC Class,2018,38990,Semi-Auto,10638,Petrol,145,34.0,3.0,Mercedes,3858
 3 Series,2017,23990,Semi-Auto,40010,Diesel,150,49.6,3.0,BMW,1231
 5 Series,2018,21940,Automatic,53519,Other,135,156.9,2.0,BMW,42734
 GLA Class,2015,14992,Semi-Auto,40251,Diesel,20,62.8,2.1,Mercedes,26778
 X2,2019,28874,Semi-Auto,5000,Diesel,145,58.9,2.0,BMW,4184
 Q5,2020,51495,Semi-Auto,5000,Diesel,145,34.5,3.0,Audi,27497
 A Class,2019,20398,Automatic,8901,Diesel,145,56.5,2.0,Mercedes,10678
 A4,2019,26995,Semi-Auto,4914,Diesel,150,44.8,2.0,Audi,24840
 3 Series,2019,31490,Manual,4503,Diesel,150,54.3,2.0,BMW,11673
 Golf,2018,13295,Manual,17466,Petrol,145,58.9,1.0,VW,21179
 V Class,2020,52999,Semi-Auto,1000,Diesel,145,36.2,2.0,Mercedes,40363
 C Class,2019,31400,Semi-Auto,100,Diesel,145,64.2,2.0,Mercedes,36320
 5 Series,2016,14490,Automatic,50000,Diesel,30,62.8,2.0,BMW,19735
 Q5,2019,34000,Automatic,1000,Diesel,145,38.2,2.0,Audi,45738
 Golf,2017,11950,Manual,41674,Petrol,150,54.3,1.4,VW,7582
 Up,2017,7995,Manual,19809,Petrol,20,64.2,1.0,VW,6637
 GLA Class,2016,17650,Semi-Auto,35000,Diesel,125,56.5,2.1,Mercedes,11830
 A6,2017,21699,Automatic,34026,Diesel,145,58.9,2.0,Audi,42331
 Q7,2018,51450,Automatic,18988,Diesel,145,39.2,4.0,Audi,18604
 A5,2015,15489,Manual,37026,Petrol,145,49.6,1.8,Audi,3228
 Golf,2020,29995,Semi-Auto,2000,Hybrid,135,141.3,1.4,VW,46091
 A6,2016,22999,Automatic,57716,Diesel,235,43.5,3.0,Audi,17539
 E Class,2019,24899,Semi-Auto,13474,Diesel,145,72.4,2.0,Mercedes,23324
 2 Series,2019,19480,Manual,152,Petrol,145,42.8,1.5,BMW,9530
 C Class,2019,24999,Automatic,5448,Diesel,145,60.1,2.1,Mercedes,44451
 Golf,2016,11999,Semi-Auto,24587,Petrol,0,65.7,1.0,VW,25751
 A Class,2016,15495,Semi-Auto,37129,Diesel,20,68.9,2.1,Mercedes,22572
 Golf,2015,10990,Semi-Auto,45743,Petrol,30,56.5,1.4,VW,824
 A1,2017,14695,Manual,13555,Petrol,30,55.4,1.4,Audi,41804
 C Class,2019,32495,Semi-Auto,7499,Petrol,145,44.1,1.5,Mercedes,46693
 B Class,2020,26491,Semi-Auto,3378,Diesel,145,55.4,2.0,Mercedes,22331
 X3,2019,35995,Semi-Auto,5904,Petrol,145,30.4,2.0,BMW,68
 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0,BMW,19912
 3 Series,2017,22290,Semi-Auto,19462,Diesel,145,56.5,3.0,BMW,19684
 Passat,2019,25995,Automatic,1500,Diesel,145,48.7,2.0,VW,24516
 A3,2016,16750,Automatic,41656,Diesel,30,61.4,2.0,Audi,26929
 T-Roc,2019,22995,Semi-Auto,3405,Diesel,145,49.6,2.0,VW,3220
 C Class,2019,27899,Automatic,8273,Diesel,145,56.5,2.0,Mercedes,31489
 A1,2017,12500,Manual,26600,Petrol,0,67.3,1.0,Audi,24729
 T-Roc,2020,32500,Semi-Auto,2500,Diesel,145,49.6,2.0,VW,26032
 X5,2016,28990,Automatic,29000,Diesel,205,47.1,3.0,BMW,10917
 E Class,2016,18995,Semi-Auto,18723,Diesel,125,60.1,2.1,Mercedes,22940
